id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.AUD.price,quote.AUD.volume_24h,quote.AUD.volume_change_24h,quote.AUD.percent_change_1h,quote.AUD.percent_change_24h,quote.AUD.percent_change_7d,quote.AUD.percent_change_30d,quote.AUD.percent_change_60d,quote.AUD.percent_change_90d,quote.AUD.market_cap,quote.AUD.market_cap_dominance,quote.AUD.fully_diluted_market_cap,quote.AUD.tvl,quote.AUD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
3408,USDC,USDC,usd-coin,19782,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32844243583.581158,32844243583.581158,False,,6,,,,2024-06-19T03:35:00.000Z,1.5012169909759197,9711716124.407402,-3.8845,0.0125572,0.02602169,0.01424896,0.01703025,0.02106901,0.00562256,49306336523.42387,1.3793,49306336523.41735,,2024-06-19T03:35:02.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-19 13:37:02.893978
52,XRP,XRP,xrp,1341,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55570463728.0,99987531962.0,False,,7,,,,2024-06-19T03:36:00.000Z,0.7455350248846953,2407881033.908982,-35.0609,0.20778067,1.60159392,3.34256997,-3.20651559,-2.70903921,-18.85248247,41429727058.30853,1.159,74553502488.4706,,2024-06-19T03:35:02.000Z,,,,,,2024-06-19 13:37:02.893978
74,Dogecoin,DOGE,dogecoin,1009,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144768356383.7052,144768356383.7052,True,,8,,,,2024-06-19T03:36:00.000Z,0.18954765255754655,1485871602.4098005,-31.5669,0.66143285,3.94743052,-8.58462441,-16.48406001,-18.703097,-17.15534262,27440502117.14563,0.7676,27440502117.15023,,2024-06-19T03:35:02.000Z,,,,,,2024-06-19 13:37:02.893978
11419,Toncoin,TON,toncoin,426,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2438122725.516088,5107786551.142664,True,,9,3414166606.0,24486163565.236794,,2024-06-19T03:35:00.000Z,10.764701011512015,638449934.5402297,-8.2521,-0.59368083,-4.1173319,1.85874502,12.74786019,18.57757015,67.9095948,26245662169.55346,0.7342,54983795053.66775,,2024-06-19T03:35:02.000Z,,,,,,2024-06-19 13:37:02.893978
2010,Cardano,ADA,cardano,1196,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35734412443.601,36980576545.153,False,,10,,,,2024-06-19T03:35:00.000Z,0.5887167637542112,645288469.3657314,-24.3132,0.02786227,4.11826927,-7.40673491,-16.55817703,-17.81665605,-39.0258216,21037447648.454994,0.5885,26492254368.9406,,2024-06-19T03:35:02.000Z,,,,,,2024-06-19 13:37:02.893978
5994,Shiba Inu,SHIB,shiba-inu,833,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271349448629.4,589519792189012.2,False,,11,,,,2024-06-19T03:35:00.000Z,2.827508450233673e-05,714388468.3464383,-19.6979,0.68362462,5.02027624,-13.44474336,-21.10187779,-18.3863482,-30.97024338,16661697200.465992,0.4661,16668721939.949677,,2024-06-19T03:35:02.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-19 13:37:02.893978
5805,Avalanche,AVAX,avalanche,744,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,393356455.3538252,442702825.3538252,False,,12,,,,2024-06-19T03:35:00.000Z,40.67166056550582,472103877.314917,-30.0139,0.13375338,2.72359067,-14.0722523,-23.98037352,-22.56155003,-52.32101974,15998460233.401323,0.4475,29110688949.362907,,2024-06-19T03:35:02.000Z,,,,,,2024-06-19 13:37:02.893978
1958,TRON,TRX,tron,992,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87264925929.89293,87264931849.3556,True,,13,71659659264.0,8316919968.436005,,2024-06-19T03:35:00.000Z,0.17420223369629362,417204769.31781894,-26.6139,0.16377124,1.50787846,-0.95865571,-4.46323154,5.78667577,-4.53428265,15201745020.328962,0.4253,15201746051.5152,,2024-06-19T03:35:02.000Z,,,,,,2024-06-19 13:37:02.893978
6636,Polkadot,DOT,polkadot-new,784,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1458690150.0771096,8569614887.569729,,2024-06-19T03:36:00.000Z,8.81788013390164,405996523.2889681,0.3232,0.08029846,2.58938697,-8.48137231,-15.45643013,-12.53386539,-38.44855908,12679700995.936941,0.3547,12679700995.930109,,2024-06-19T03:35:02.000Z,,,,,,2024-06-19 13:37:02.893978
1975,Chainlink,LINK,chainlink,1796,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,587099970.4527867,1000000000.0,False,,15,,,,2024-06-19T03:35:00.000Z,21.437442341444463,641825888.3773456,-9.1667,0.16169521,4.52164257,-5.66712724,-15.0401958,1.83109498,-22.59430683,12585921765.245361,0.3521,21437442341.445282,,2024-06-19T03:35:02.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-06-19 13:37:02.893978
1,Bitcoin,BTC,bitcoin,11114,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19714259.0,19714259.0,False,,1,,,,2024-06-19T03:41:00.000Z,98366.29825736393,53082330156.14407,0.3481,0.40084573,0.03409868,-2.7197241,-1.71255674,2.43181714,-2.66438033,1939218680716.9211,54.2475,2065692263404.6396,,2024-06-19T03:39:02.000Z,,,,,,2024-06-19 13:42:03.824593
